"CASE","SERIAL","REF","QUESTNNR","MODE","STARTED","A101_01","A101_02","A101_03","A101_04","A101_05","A101_06","A101_07","A101_08","A101_09","A101_10","A102","A201_01","A201_02","A201_03","A201_04","A201_05","A201_06","A301","A302","A303","A304","A305","A306","A404","A405_01","A403","TIME001","TIME002","TIME003","TIME004","TIME005","TIME_SUM","MAILSENT","LASTDATA","STATUS","FINISHED","Q_VIEWER","LASTPAGE","MAXPAGE","MISSING","MISSREL","TIME_RSI"
24,,,"ITID-FOMO","interview",2025-07-09 16:14:01,2,2,1,1,4,1,1,4,7,3,2,5,1,3,3,3,4,2,2,2,2,,,1,55,2,150,105,8,58,23,344,,2025-07-09 16:19:45,,1,0,5,5,0,0,074
35,,,"ITID-FOMO","interview",2025-07-09 16:16:25,5,6,2,1,5,1,3,1,6,2,2,1,1,2,5,1,1,1,4,4,4,,,1,21,1,87,37,12,44,12,192,,2025-07-09 16:19:37,,1,0,5,5,0,0,112
52,,,"ITID-FOMO","interview",2025-07-09 16:22:58,3,3,1,2,5,2,6,5,7,2,2,2,1,3,1,1,2,1,3,2,2,2,1,2,22,6,118,40,8,45,19,230,,2025-07-09 16:26:48,,1,0,5,5,0,0,102
54,,,"ITID-FOMO","interview",2025-07-09 16:23:42,2,2,1,1,5,1,1,4,7,3,2,5,1,2,2,1,1,1,2,2,2,3,2,1,55,2,63,44,4,49,8,168,,2025-07-09 16:26:30,,1,0,5,5,0,0,152
59,,,"ITID-FOMO","interview",2025-07-09 16:30:35,2,2,1,1,6,1,3,1,7,2,2,1,7,4,4,7,4,3,2,2,2,1,2,2,25,3,171,129,13,70,12,395,,2025-07-09 16:37:10,,1,0,5,5,0,0,07
60,,,"ITID-FOMO","interview",2025-07-09 16:39:35,6,6,3,1,7,1,5,1,1,1,2,7,2,1,1,7,6,1,2,2,2,2,2,2,23,1,134,82,11,48,12,287,,2025-07-09 16:44:23,,1,0,5,5,0,0,087
62,,,"ITID-FOMO","interview",2025-07-09 17:02:37,4,4,2,1,1,2,1,3,7,6,2,1,1,1,5,4,5,1,2,,2,2,2,1,59,2,97,69,6,43,11,226,,2025-07-09 17:06:23,,1,0,5,5,4,4,112
63,,,"ITID-FOMO","interview",2025-07-09 17:05:57,5,5,5,2,5,4,5,3,6,3,2,5,4,3,4,5,2,1,2,2,2,2,1,1,22,3,101,56,12,48,13,230,,2025-07-09 17:09:47,,1,0,5,5,0,0,095
65,,,"ITID-FOMO","interview",2025-07-09 17:19:55,5,3,3,2,6,3,6,2,7,3,2,5,5,2,4,5,5,1,4,3,2,3,2,1,24,1,79,34,9,47,8,177,,2025-07-09 17:22:52,,1,0,5,5,0,0,131
68,,,"ITID-FOMO","interview",2025-07-09 17:26:25,7,7,6,2,7,7,5,5,5,2,2,6,7,5,2,7,5,4,3,4,4,4,1,2,33,3,59,58,6,35,13,171,,2025-07-09 17:29:16,,1,0,5,5,0,0,13
69,,,"ITID-FOMO","interview",2025-07-09 17:33:37,3,2,5,3,5,6,5,6,6,5,2,6,2,2,5,4,5,4,3,1,1,3,1,1,26,1,46,45,4,34,8,137,,2025-07-09 17:35:54,,1,0,5,5,0,0,172
74,,,"ITID-FOMO","interview",2025-07-09 17:59:13,5,5,4,3,5,3,3,3,3,2,2,3,4,4,2,3,3,2,2,3,2,2,2,1,24,1,75,44,8,45,11,183,,2025-07-09 18:02:16,,1,0,5,5,0,0,119
75,,,"ITID-FOMO","interview",2025-07-09 18:00:51,5,5,5,2,4,2,2,1,1,1,2,5,5,1,1,5,3,2,4,2,3,2,2,1,22,1,62,31,7,35,9,144,,2025-07-09 18:03:15,,1,0,5,5,0,0,15
76,,,"ITID-FOMO","interview",2025-07-09 18:03:37,3,3,3,3,3,3,5,5,5,5,2,5,3,5,5,3,3,1,4,2,2,2,2,1,54,2,181,99,10,99,27,416,,2025-07-09 18:10:33,,1,0,5,5,0,0,059
77,,,"ITID-FOMO","interview",2025-07-09 18:32:51,3,3,3,5,1,5,7,7,3,3,2,5,3,3,5,5,5,4,2,2,2,1,3,1,50,2,128,64,10,54,26,282,,2025-07-09 18:37:33,,1,0,5,5,0,0,079
78,,,"ITID-FOMO","interview",2025-07-09 18:51:11,5,4,4,1,1,2,1,4,5,1,2,1,1,1,1,1,1,1,2,2,2,2,2,1,45,2,111,46,7,48,26,238,,2025-07-09 18:55:09,,1,0,5,5,0,0,098
80,,,"ITID-FOMO","interview",2025-07-09 20:01:51,5,5,3,3,6,5,5,4,7,6,2,1,1,2,3,3,2,5,2,1,3,1,2,1,19,2,65,40,7,38,16,166,,2025-07-09 20:04:37,,1,0,5,5,0,0,126
81,,,"ITID-FOMO","interview",2025-07-09 20:03:17,5,2,6,1,7,5,7,1,7,2,2,5,6,1,1,7,3,2,2,2,2,2,1,1,22,1,119,45,14,37,12,227,,2025-07-09 20:07:04,,1,0,5,5,0,0,103
83,,,"ITID-FOMO","interview",2025-07-09 20:08:12,4,4,3,2,6,2,3,1,5,3,2,3,5,2,3,4,4,1,2,2,2,3,2,1,44,2,128,56,11,51,15,261,,2025-07-09 20:12:33,,1,0,5,5,0,0,088
84,,,"ITID-FOMO","interview",2025-07-09 20:13:11,3,2,5,3,6,1,6,2,7,1,2,2,6,1,3,5,2,4,2,2,2,2,3,1,23,1,80,47,6,47,12,192,,2025-07-09 20:16:23,,1,0,5,5,0,0,12
85,,,"ITID-FOMO","interview",2025-07-09 20:52:28,5,5,1,1,3,1,2,5,2,1,2,5,2,4,5,5,5,4,2,2,2,2,2,1,37,2,72,30,7,39,19,167,,2025-07-09 20:55:15,,1,0,5,5,0,0,129
86,,,"ITID-FOMO","interview",2025-07-09 21:15:38,2,2,2,1,4,3,3,1,6,4,2,2,4,1,4,1,1,1,2,2,2,2,4,1,60,2,100,57,12,42,14,225,,2025-07-09 21:19:23,,1,0,5,5,0,0,096
87,,,"ITID-FOMO","interview",2025-07-09 21:59:16,3,2,5,3,6,5,6,5,6,5,2,6,6,5,4,6,6,2,2,2,2,1,3,1,52,2,165,53,10,77,25,330,,2025-07-09 22:04:46,,1,0,5,5,0,0,074
88,,,"ITID-FOMO","interview",2025-07-10 07:40:49,1,1,5,3,5,4,6,5,7,5,2,3,5,3,5,5,4,2,2,3,2,3,2,1,49,2,108,122,7,65,16,318,,2025-07-10 07:46:07,,1,0,5,5,0,0,084
90,,,"ITID-FOMO","interview",2025-07-10 08:13:03,6,5,4,2,5,2,2,3,3,3,2,4,3,2,5,4,4,5,2,2,1,3,1,1,22,1,89,53,6,55,11,214,,2025-07-10 08:16:38,,1,0,5,5,0,0,114
93,,,"ITID-FOMO","interview",2025-07-10 08:21:52,5,6,3,2,6,5,5,5,7,6,2,6,4,4,5,6,6,2,4,3,1,1,1,1,21,1,51,25,9,37,10,132,,2025-07-10 08:24:04,,1,0,5,5,0,0,156
94,,,"ITID-FOMO","interview",2025-07-10 08:28:12,5,6,4,1,5,3,5,1,5,3,2,2,5,3,5,5,3,1,2,3,2,2,2,1,22,1,80,35,5,44,15,179,,2025-07-10 08:31:11,,1,0,5,5,0,0,131
95,,,"ITID-FOMO","interview",2025-07-10 08:35:42,6,5,6,3,6,3,5,3,3,5,2,5,3,4,4,3,5,4,2,3,2,2,1,1,22,1,53,32,6,42,8,141,,2025-07-10 08:38:03,,1,0,5,5,0,0,157
96,,,"ITID-FOMO","interview",2025-07-10 08:38:17,5,7,5,5,5,7,6,2,5,4,2,6,6,6,6,7,7,2,2,2,2,2,1,2,25,1,90,43,14,46,22,215,,2025-07-10 08:41:52,,1,0,5,5,0,0,094
97,,,"ITID-FOMO","interview",2025-07-10 09:19:18,2,2,5,1,5,1,4,4,4,2,2,1,2,2,2,1,3,1,2,3,3,3,2,1,22,1,55,42,3,44,7,151,,2025-07-10 09:21:49,,1,0,5,5,0,0,179
99,,,"ITID-FOMO","interview",2025-07-10 09:21:16,5,5,3,3,4,3,4,3,5,4,2,4,3,4,5,3,3,2,2,2,2,1,2,2,48,2,104,47,7,54,15,227,,2025-07-10 09:25:03,,1,0,5,5,0,0,103
101,,,"ITID-FOMO","interview",2025-07-10 09:38:24,2,2,2,3,5,3,5,3,6,6,2,5,5,3,5,5,3,5,4,3,3,2,1,1,22,1,130,57,7,84,26,304,,2025-07-10 09:43:28,,1,0,5,5,0,0,081
103,,,"ITID-FOMO","interview",2025-07-10 10:07:31,2,3,3,5,6,3,6,2,7,2,2,2,3,4,3,6,2,5,2,2,2,2,2,1,22,1,62,119,9,36,11,237,,2025-07-10 10:11:28,,1,0,5,5,0,0,112
105,,,"ITID-FOMO","interview",2025-07-10 10:38:44,1,6,5,1,5,2,4,3,6,5,2,2,1,5,3,1,1,2,3,4,3,1,1,2,21,1,316,128,12,50,10,297,,2025-07-10 10:47:20,,1,0,5,5,0,0,076
109,,,"ITID-FOMO","interview",2025-07-10 10:44:14,4,4,1,1,4,1,6,1,7,4,2,4,5,1,5,4,3,3,2,2,2,2,2,2,21,1,149,90,58,94,11,353,,2025-07-10 10:50:56,,1,0,5,5,0,0,063
112,,,"ITID-FOMO","interview",2025-07-10 10:46:35,2,6,2,2,7,3,6,4,7,3,2,5,5,2,2,5,2,5,4,2,4,1,2,2,21,1,112,106,5,57,9,289,,2025-07-10 10:51:24,,1,0,5,5,0,0,109
113,,,"ITID-FOMO","interview",2025-07-10 10:47:51,3,4,5,1,5,2,5,3,6,4,2,6,5,5,2,4,5,5,2,2,2,1,2,2,19,2,70,47,5,29,23,174,,2025-07-10 10:50:45,,1,0,5,5,0,0,133
116,,,"ITID-FOMO","interview",2025-07-10 10:51:30,4,4,3,2,6,7,4,5,7,6,2,6,7,5,5,5,5,2,3,3,1,3,2,2,26,2,67,52,12,41,10,182,,2025-07-10 10:54:32,,1,0,5,5,0,0,116
117,,,"ITID-FOMO","interview",2025-07-10 10:55:52,3,2,5,3,5,2,3,4,7,3,3,3,3,2,5,2,3,4,4,2,2,2,3,2,65,6,143,75,11,64,44,306,,2025-07-10 11:01:29,,1,0,5,5,0,0,066
120,,,"ITID-FOMO","interview",2025-07-10 11:02:18,5,5,6,5,6,4,5,1,5,3,2,1,3,3,3,2,3,4,2,3,2,2,,1,33,6,59,38,4,41,9,151,,2025-07-10 11:04:49,,1,0,5,5,0,0,159
121,,,"ITID-FOMO","interview",2025-07-10 11:03:44,3,3,6,2,7,7,7,1,7,6,2,5,5,4,3,2,3,1,2,3,2,2,1,1,23,1,110,119,7,57,10,303,,2025-07-10 11:08:47,,1,0,5,5,0,0,095
122,,,"ITID-FOMO","interview",2025-07-10 11:21:03,5,5,5,2,6,4,6,1,7,2,2,4,6,2,5,6,4,1,2,3,2,2,2,1,32,2,224,104,8,67,17,420,,2025-07-10 11:28:03,,1,0,5,5,0,0,071
124,,,"ITID-FOMO","interview",2025-07-10 11:49:59,5,5,4,2,5,1,5,2,4,2,2,3,2,2,2,2,3,4,4,4,2,2,2,2,34,6,300,155,37,167,47,227,,2025-07-10 12:01:45,,1,0,5,5,0,0,03
125,,,"ITID-FOMO","interview",2025-07-10 11:51:23,6,6,5,2,7,3,5,5,5,5,2,5,4,5,6,5,6,5,2,2,2,1,2,2,21,1,74,45,5,41,13,178,,2025-07-10 11:54:21,,1,0,5,5,0,0,13
128,,,"ITID-FOMO","interview",2025-07-10 12:04:55,2,3,5,5,4,3,5,1,6,5,2,2,6,3,4,5,6,3,2,2,2,1,2,2,23,1,96,70,13,86,13,278,,2025-07-10 12:09:33,,1,0,5,5,0,0,081
132,,,"ITID-FOMO","interview",2025-07-10 12:19:16,1,1,4,5,7,7,7,1,6,7,2,4,4,1,6,3,1,1,2,2,1,3,3,2,21,1,62,46,9,43,8,168,,2025-07-10 12:22:04,,1,0,5,5,0,0,131
134,,,"ITID-FOMO","interview",2025-07-10 12:19:27,6,5,4,4,4,3,5,2,6,5,2,6,5,6,6,5,6,3,2,2,2,2,2,1,40,6,106,57,10,42,15,230,,2025-07-10 12:23:17,,1,0,5,5,0,0,097
135,,,"ITID-FOMO","interview",2025-07-10 12:19:50,1,1,6,5,7,1,5,1,6,4,2,1,1,1,1,1,1,4,2,2,2,2,2,2,26,5,79,58,11,49,16,213,,2025-07-10 12:23:23,,1,0,5,5,0,0,097
136,,,"ITID-FOMO","interview",2025-07-10 12:20:10,1,1,5,1,3,5,1,5,7,5,2,6,6,6,6,6,6,4,2,1,2,2,1,2,20,3,89,5636,6,61,15,227,,2025-07-10 13:56:57,,1,0,5,5,0,0,085
137,,,"ITID-FOMO","interview",2025-07-10 12:20:10,6,5,5,2,5,4,5,2,5,5,2,6,5,3,5,5,6,5,2,2,3,3,3,2,25,2,53,32,8,40,8,141,,2025-07-10 12:22:31,,1,0,5,5,0,0,151
140,,,"ITID-FOMO","interview",2025-07-10 12:21:42,3,2,4,1,1,1,5,1,6,1,2,1,1,1,1,1,1,1,2,2,2,2,2,2,25,2,80,35,8,57,10,190,,2025-07-10 12:24:52,,1,0,5,5,0,0,122
143,,,"ITID-FOMO","interview",2025-07-10 12:29:33,2,4,5,1,5,1,2,1,5,1,2,4,5,1,5,1,2,2,4,2,2,3,2,2,20,2,104,51,13,49,10,227,,2025-07-10 12:33:21,,1,0,5,5,0,0,101
144,,,"ITID-FOMO","interview",2025-07-10 12:33:02,6,3,3,5,6,6,6,2,6,4,2,3,6,5,6,3,3,2,3,2,2,3,3,2,26,2,86,37,7,35,16,181,,2025-07-10 12:36:03,,1,0,5,5,0,0,123
147,,,"ITID-FOMO","interview",2025-07-10 12:53:23,2,2,1,1,2,1,1,1,7,1,2,4,2,1,1,1,1,4,2,2,2,2,2,2,26,6,162,92,18,83,38,368,,2025-07-10 12:59:56,,1,0,5,5,0,0,053
149,,,"ITID-FOMO","interview",2025-07-10 12:56:48,5,5,4,5,6,7,5,5,7,6,2,5,5,3,4,6,4,2,4,3,3,1,2,2,18,7,82,46,12,62,16,218,,2025-07-10 13:00:26,,1,0,5,5,0,0,095
151,,,"ITID-FOMO","interview",2025-07-10 13:00:20,3,4,5,1,6,1,6,1,7,1,2,2,2,1,3,1,5,1,2,2,2,2,2,1,32,2,175,110,9,69,10,373,,2025-07-10 13:06:33,,1,0,5,5,0,0,081
152,,,"ITID-FOMO","interview",2025-07-10 13:00:41,5,5,5,4,5,2,7,1,6,5,2,5,6,5,6,6,5,2,4,4,2,2,,2,20,1,143,93,14,97,20,367,,2025-07-10 13:06:48,,1,0,5,5,0,0,061
153,,,"ITID-FOMO","interview",2025-07-10 13:02:46,1,1,1,1,1,1,1,1,3,1,3,1,1,1,1,1,1,4,4,4,4,4,4,1,56,2,332,124,370,200,63,295,,2025-07-10 13:20:55,,1,0,5,5,0,0,025
157,,,"ITID-FOMO","interview",2025-07-10 13:21:55,4,3,6,5,5,2,3,1,6,2,2,4,3,2,3,4,2,2,4,2,3,3,3,2,26,2,103,76,7,87,22,295,,2025-07-10 13:26:50,,1,0,5,5,0,0,082
159,,,"ITID-FOMO","interview",2025-07-10 13:27:00,6,5,6,1,6,3,2,1,6,6,2,5,2,1,2,3,5,4,2,3,2,2,2,2,22,1,28988,40,11,58,10,216,,2025-07-10 21:32:07,,1,0,5,5,0,0,087
162,,,"ITID-FOMO","interview",2025-07-10 13:37:56,6,6,7,6,7,5,7,5,7,6,2,5,6,5,5,7,6,1,2,3,1,1,1,2,25,2,8675,83,12,71,13,276,,2025-07-10 16:05:30,,1,0,5,5,0,0,063
163,,,"ITID-FOMO","interview",2025-07-10 13:37:56,5,5,6,3,5,5,6,6,6,6,2,5,4,4,2,2,2,1,4,4,4,3,3,1,33,2,278,232,4,89,9,255,,2025-07-10 13:48:08,,1,0,5,5,0,0,095
164,,,"ITID-FOMO","interview",2025-07-10 13:56:00,6,6,7,5,7,3,1,1,1,2,2,6,1,1,1,1,5,1,4,3,4,3,,1,30,6,83,48,5,5259,20,208,,2025-07-10 15:26:15,,1,0,5,5,0,0,094
166,,,"ITID-FOMO","interview",2025-07-10 13:58:17,6,6,5,1,6,4,7,2,7,5,2,5,4,3,5,6,5,2,2,3,3,1,2,1,22,1,129,68,14,52,15,278,,2025-07-10 14:02:55,,1,0,5,5,0,0,081
167,,,"ITID-FOMO","interview",2025-07-10 13:59:50,1,1,1,1,1,1,1,1,1,1,2,1,4,1,1,1,1,1,2,2,2,1,2,2,23,5,63,57,12,61,22,215,,2025-07-10 14:03:26,,1,0,5,5,0,0,093
168,,,"ITID-FOMO","interview",2025-07-10 14:15:44,3,5,5,4,6,2,6,1,7,6,2,5,5,5,5,7,5,2,2,2,3,3,2,2,21,7,671,136,7,121,14,306,,2025-07-10 14:31:33,,1,0,5,5,0,0,063
169,,,"ITID-FOMO","interview",2025-07-10 14:51:26,4,6,4,1,3,3,3,5,5,3,2,1,1,1,4,3,3,1,2,2,2,2,2,1,59,2,173,66,12,62,16,329,,2025-07-10 14:56:55,,1,0,5,5,0,0,075
172,,,"ITID-FOMO","interview",2025-07-10 15:23:28,6,5,5,2,5,1,6,7,5,4,2,7,7,5,6,7,7,5,4,1,3,1,1,1,20,3,108,45,11,54,30,248,,2025-07-10 15:27:36,,1,0,5,5,0,0,086
174,,,"ITID-FOMO","interview",2025-07-10 16:39:41,3,3,5,1,6,3,2,2,5,1,2,2,6,2,5,2,3,2,4,4,2,2,2,1,26,2,75,128,11,187,20,286,,2025-07-10 16:46:43,,1,0,5,5,0,0,068
176,,,"ITID-FOMO","interview",2025-07-10 17:00:10,4,5,3,2,5,2,2,2,4,2,2,5,5,4,4,5,4,1,2,2,2,2,3,2,62,4,100,81,9,50,16,256,,2025-07-10 17:04:28,,1,0,5,5,0,0,089
178,,,"ITID-FOMO","interview",2025-07-10 18:42:05,4,3,1,1,5,2,3,1,6,2,2,1,4,1,3,2,2,4,4,3,2,2,2,1,37,2,85,47,10,56,11,209,,2025-07-10 18:45:34,,1,0,5,5,0,0,106
180,,,"ITID-FOMO","interview",2025-07-10 19:06:15,2,5,2,1,6,5,7,6,7,3,2,5,6,3,5,7,7,2,2,2,2,2,2,1,70,6,234,117,5,72,31,459,,2025-07-10 19:13:54,,1,0,5,5,0,0,075
181,,,"ITID-FOMO","interview",2025-07-10 19:44:10,7,6,4,4,5,5,5,2,3,5,2,5,4,3,3,5,5,2,3,1,1,2,1,2,28,2,85,81,8,37,26,237,,2025-07-10 19:48:07,,1,0,5,5,0,0,096
182,,,"ITID-FOMO","interview",2025-07-10 20:25:07,1,1,3,5,6,1,5,1,7,1,2,3,1,4,3,6,2,1,4,2,2,,3,4,20,1,295,136,11,132,20,316,,2025-07-10 20:35:01,,1,0,5,5,0,0,051
185,,,"ITID-FOMO","interview",2025-07-11 11:34:27,2,1,2,1,6,1,6,1,7,1,2,1,1,1,1,1,1,1,2,2,1,1,2,2,29,2,92,33,7,44,10,186,,2025-07-11 11:37:34,,1,0,5,5,0,0,129
186,,,"ITID-FOMO","interview",2025-07-11 13:56:09,2,2,2,1,1,2,1,1,4,2,2,2,2,2,2,3,1,1,3,2,2,3,2,2,22,1,91,66,11,58,17,243,,2025-07-11 14:00:12,,1,0,5,5,0,0,087
188,,,"ITID-FOMO","interview",2025-07-11 14:47:27,3,5,5,1,6,3,5,1,6,1,2,5,5,3,3,4,5,5,3,4,2,2,2,2,22,1,85,68,11,59,10,233,,2025-07-11 14:51:20,,1,0,5,5,0,0,098
192,,,"ITID-FOMO","interview",2025-07-12 18:36:21,3,5,5,2,6,2,6,1,7,2,2,2,4,2,2,5,5,1,3,3,1,2,1,2,27,2,124,40,6,47,12,229,,2025-07-12 18:40:10,,1,0,5,5,0,0,116
194,,,"ITID-FOMO","interview",2025-07-14 11:32:32,3,2,1,1,7,1,6,1,7,1,2,2,1,1,1,1,1,4,2,3,3,2,,1,22,1,151,36,5,118,7,251,,2025-07-14 11:37:50,,1,0,5,5,0,0,124
